,CVNA,EFX,FFIV,CRWD,FICO,MNDY,AGG,GLD,MU,CSGP,WRBY,SPGI,SPY,IBIT,TWLO,VERX,GTLB,MELI,VRT,IBM,WDAY,ANET,CIEN,COHR,LDOS,ADP,MSCI,RBRK,TEM,TLT,GOOG,NFLX,HUBS,IWM,PEGA,HOOD,CSCO,KVYO,BASE,SNOW,QQQ,TEAM,FIS,CLS,AAOI,DDOG,SRAD,CRM,RELX,NET,GWRE,QMOM,INTU,AMD
2017-04-28,11.1,124.474386728673,129.13,,135.48,,85.2368360257812,120.77,26.9942270113007,24.089,,123.818958374884,206.307670745002,,33.05,,,228.539632034883,,104.113384563972,87.4,8.7275,22.91,33.15,45.9963527351856,85.985078895059,91.0765010477712,,,95.5636382818961,44.9271956784529,15.22,67.05,124.125794424396,22.3952775959948,,26.2091634063653,,,,127.976223119835,34.48,71.4546871024209,14.25,49.39,,,85.0737391847484,17.1636829163645,,61.49,24.3144522252698,117.604069794441,13.3
2017-05-01,10.77,124.189211502261,127.4,,137.37,,85.0177090897061,119.67,27.5990850072171,24.254,,124.584810789007,206.827591547413,,34.39,,,234.709633022064,,103.171564066014,88.65,8.81875,22.91,34.1,46.7213237334804,85.5571696116307,91.3579376040392,,,94.7707061204953,45.2549902427103,15.535,67.1,124.839879247778,22.6656925834327,,26.1322360115711,,,,129.114918832572,34.72,71.6498952985672,14.19,50.13,,,85.6071787941279,17.1553063019593,,60.87,24.5021460766953,117.89523872373,13.62
2017-05-02,10.1,125.550693228359,127.5,,137.98,,85.1349964654392,119.65,27.0917847525775,24.477,,124.990804839867,206.905590369638,,33.94,,,234.380166949933,,103.340442224269,89.35,8.824375,22.69,28.55,46.7824658658667,85.5900857103559,92.5472340192364,,,95.2559872387205,45.4469062735236,15.645,66.65,124.206128967027,22.7886084868136,,26.3399399775153,,,,129.331365125075,34.94,70.6653670049597,14.1,47.3,,,86.0319547793746,17.3647216620906,,60.7,24.2998749870626,118.261548021868,10.32
2017-05-03,8.72,125.182725194279,126.99,,137.6,,85.0489857232349,117.98,27.3161675575143,24.631,,124.898533464672,206.654284613276,,25.01,,,234.589827177653,,103.035162476654,89.27,8.7925,22.67,27.725,46.8174042272303,80.2412196675013,92.0660682940039,,,95.3186041572011,45.9725677532706,15.559,71.85,123.438487781891,22.7148589447851,,26.3476327169947,,,,128.917293956807,35.28,70.4277222444338,13.85,46.47,,,85.4985151699951,17.2977087468486,,60.5,23.9142927450733,117.970379092579,10.39
2017-05-04,9.98,125.900262860736,126.42,,137.49,,84.9786132977951,116.79,27.1112963008329,24.859,,126.051925654616,206.89691709402,,24.96,,,236.127335514264,,103.307965655373,90.65,8.7625,22.79,29.95,47.5074368641615,81.5496345918303,88.5980436328946,,,94.8489772685961,46.2016768133113,15.725,70.2,123.268892636337,22.7394421254613,,26.2937835406388,,,,128.964347498656,36.53,70.8860371397338,13.78,46.81,,,85.4688796361406,17.4819942637642,,61.14,23.6951577916324,118.299118206292,10.1
2017-05-05,10.92,127.69410702688,128.57,,137.91,,84.9942516145595,117.01,27.5112830400679,25.28,,126.919276581454,207.711473635882,,23.97,,,274.714801235064,,100.709840143764,91.86,9.045,23.06,30.4,47.5773135868887,81.7059860607753,90.3683703578064,,,94.935075531507,45.9770309167779,15.66,70.65,124.06331200235,22.567359860728,,26.4553310697065,,,,129.434882917142,36.81,70.4871334345653,13.79,55.96,,,85.9134126439569,17.5825136366272,,61.49,23.7618510383318,118.477576582308,10.19
2017-05-08,10.8,126.240633292261,129.76,,137.08,,84.8300492885332,116.75,27.3747022022804,25.182,,126.282604092605,207.67681779496,,23.84,,,274.515124827712,,100.372083827255,90.26,8.921875,23.12,30.45,46.5641011073441,79.5746686683148,89.1609167454307,,,94.4184859540415,46.3325962761916,15.638,69.55,123.545600505398,22.7640253061374,,26.3784036749124,,,,129.717204168234,36.82,70.7332655079672,13.88,57.39,,,85.804749019824,17.4652410349537,,61.34,23.7054476068375,118.505754220626,10.04
2017-05-09,10.55,124.989541976386,130.84,,137.02,,84.8378684469154,116.05,28.1063852618566,25.225,,126.697825280985,207.486175574707,,23.17,,,281.314106498052,,99.7686575897779,89.78,9.058125,23.48,31.3,45.9002722414356,79.8873716062047,88.6525152244304,,,94.4106588392314,46.2269680731859,15.746,69.85,123.492044143644,22.6656925834327,,26.0783868352152,,,,130.16891816998,36.84,70.5720065633246,13.98,62.11,,,86.0714688245138,17.6243967086535,,61.01,23.7054476068375,119.031736802568,10.18
2017-05-10,10.74,125.026338779794,131.6,,137.21,,84.861325922062,116.04,28.6039297423685,25.245,,127.21454498208,207.8587850065,,23.45,,,281.803313696065,,99.2045852373539,90.17,9.089375,23.64,32.55,45.7954571573448,79.5170654955456,89.2153883369664,,,94.3010792318902,46.0588555810781,16.028,69.85,124.25968532878,23.3786048230418,,25.9553030035446,,,,130.244203836938,37.18,70.9369610169894,14.19,64.97,,,86.2492820276403,17.607643479843,,61.03,23.9619307784301,119.369868462387,10.79
2017-05-11,11.0,124.787159557642,129.94,,135.72,,84.8535067636798,116.5,28.3210122926657,25.288,,126.725506693543,207.434185314216,,23.3,,,280.415562664967,,98.8110463868256,89.07,9.12625,23.54,32.0,46.0312910965492,79.3771720759632,89.2244669355557,,,94.3010792318902,46.1491106653366,15.854,69.05,123.393857480429,25.812339709983,,25.870682869271,,,,130.140686044871,36.93,70.9539356427412,14.15,64.23,,,86.6444224790325,17.5490071790062,,61.07,23.952307895692,119.172624994159,11.07
