,IBIT,LULU,RTX,FAST,LLY,COP,WM,PM,GE,CAT,EOG,ETN,AGG,NFLX,WMT,ISRG,V,COST,DE,LMT,IWM,JNJ,QQQ,NKE,QMOM,TLT,ONON,UNP,JPM,GLD,SPY,XOM,AXP
2024-01-11,26.63,485.48,81.5527120081918,30.1731534696787,625.932804100724,103.396602513266,174.090712742971,87.5075000409196,102.338793577728,282.511569818753,106.950162554176,237.359322578379,91.3714699586353,49.223,52.5685304032377,362.31,259.645933647165,665.304723798696,379.262496400037,428.821898837036,189.159786585208,150.76699557509,404.907155049929,101.716491648885,49.776884350929,88.6015320291679,28.7,225.965332320471,163.098960130146,187.87,464.878908937449,91.4056998848832,181.044496553102
2024-01-12,24.97,479.94,82.518115654796,30.244574852359,633.021956855908,104.048653159746,176.208321010908,87.6178615753905,102.307263486508,280.915513904896,107.945437157872,236.081938992077,91.5377342590048,49.216,52.6370512361138,363.71,259.783609027655,674.846045738029,375.656674397976,438.332767866481,188.8470450109,151.927101529251,405.114875833025,100.909675284532,49.7670722310096,88.4274622216449,28.02,227.236733843384,161.901815678222,189.71,465.200962133522,92.5914634994839,178.118900462231
2024-01-16,24.72,470.73,81.7247641432301,30.3636104901595,624.800508868993,101.198260333705,175.596351649073,86.9189051904079,100.872644335993,277.839478870918,105.154947614799,235.721151261594,90.8542032463745,48.124,52.8034589730988,362.33,260.835842292823,673.1175453867,374.529247572534,433.279231486656,186.511256377789,150.17758690483,405.075309969578,97.7016197405536,49.5413934728642,86.8699955227556,27.98,225.802822351377,160.88663718299,187.91,463.493104275559,90.4978496174546,177.071948014997
2024-01-17,24.41,468.4,81.2946338056342,30.1779148951907,619.22764711978,100.201554345514,176.276317606668,86.1831616272682,100.013449350244,269.520641986575,103.73900351904,231.352694416836,90.6048067958202,48.033,52.5554788160232,358.88,262.202762141967,675.784374500178,367.978508948844,431.982724962245,185.182104686981,150.093385666222,402.790381355518,96.8371736358888,49.3942116740738,86.7325719905007,27.7,225.420445953508,160.024693177605,185.84,460.916678706976,89.8401213624807,177.101301821928
2024-01-18,23.34,477.45,81.6960887873904,32.3443635031604,613.753245825499,99.6053937544464,178.257932683086,85.7049283112275,101.329830658684,272.683734615854,103.232639405325,234.141486063266,90.5216746456354,48.531,53.2635274224103,371.93,263.687689460103,678.866043697975,370.680445651197,434.916425856899,186.276700197058,150.823129734162,408.507648623599,96.9524331165108,50.0319994688324,85.926353934605,27.78,227.504397321892,160.340739312913,187.37,465.015537566086,89.6733733541775,175.917364942345
2024-01-19,23.8,484.02,81.7534394990699,33.0157245003554,618.902727618501,100.481004622577,179.171029826141,84.9048071863131,102.323028532118,277.21072957152,103.307656311061,238.509942908025,90.5401484567876,48.295,52.9829182972983,374.82,266.401861246893,686.431936664361,371.973098821747,433.203523076472,188.065191075131,151.262847313562,416.608759164356,97.7592494808645,50.561853944478,86.2012009991149,27.96,228.728001795072,163.108537285761,187.93,470.8124950954,89.8123300277635,179.224560523329
2024-01-22,22.95,481.89,81.2659584497945,33.2871257545406,621.167318081962,100.65798979805,179.617864598275,85.0059719262449,103.442346770433,280.504841928669,103.748380632257,237.827371526031,90.7064127571572,48.571,52.9861811941019,375.81,266.69687991937,684.002159027636,373.790588617934,434.14987820378,192.081965670146,152.001947074681,417.152789786751,96.5874447612079,51.1505811396398,86.7142488528667,28.2,232.39881521461,162.916994173453,187.22,471.807932246898,89.6919009106556,181.024927348481
2024-01-23,22.32,477.0,85.5959371815937,33.0966687340597,619.985792622765,100.592784733402,180.22983396011,84.4265738702724,102.433383851389,280.66031625821,103.4951985754,237.193555242752,90.4847270233311,49.219,53.1199599630507,371.41,266.755883653865,679.142603754187,376.579998091226,416.083958823472,191.52489474091,149.513332689141,418.883796312554,97.8745089614865,50.5716660643974,86.027131191592,27.73,232.609122233438,161.844352744529,187.95,473.183977721028,90.701652738714,181.475019054768
2024-01-24,22.6,474.84,85.5385864699142,32.7776532247543,623.943902911075,102.157706284954,178.539632865518,83.5804687726618,102.417618805779,282.457988193528,105.108062048714,235.555383925967,90.2815151006572,54.487,52.3694936982164,370.07,267.139407928086,678.075872108796,377.503321784476,408.494190702462,189.951413695174,148.71809876895,421.20829079006,96.7795438955778,50.4735448652037,85.5232449066572,26.05,231.653181238767,163.290503242454,186.4,473.701214672297,92.2672312611165,181.817480135639
2024-01-25,22.76,474.3,86.9245620021678,32.9538259686991,617.957507251143,104.374678482986,179.802426786765,83.8839629924569,102.417618805779,292.262588100204,107.69614529659,239.699567316642,90.687938946005,56.2,53.1330115502652,374.97,268.083467680013,671.547079353208,381.974152299161,407.916914074804,191.52489474091,149.279440359673,421.72264701487,96.7891488522963,50.6011024241554,86.082100604494,26.63,230.926666082816,165.62732921261,187.14,476.27764024088,94.6109671556007,184.019015655525
